West Life,194362,6,m,Graham Richardson & Mark Donoghue,Matamata,155702,THE COMMANDER (NZ) 1991,132036,SHARLO (NZ) 1989
Fire Storm,196028,6,g,Jim Pender,Tauranga,117026,CENTRO (NZ) 1987,38322,SNOWDONIA (NZ) 1983
Colonel Dash,188426,7,g,Sharnie Trigg,Kaharoa,66262,ALLEGED DASH (USA) 1985,35593,SALCOMBE BAY (NZ) 1982
Dr Spin (AUS),211290,4,g,Robert Priscott,Te Awamutu,200242,SPINNING WORLD (USA) 1993,153052,MAGIC BLUE (NZ) 1991
Magico,200633,5,g,J A Gibbs,Matamata,173637,CASUAL LIES (USA) 1989,24185,MAJICA (NZ) 1982
Highball,197641,6,g,Sheryl Barr,Paengaroa,16318,HALF ICED (USA) 1979,40285,SUPER GRAN (NZ) 1985
Just The Man,205080,7,g,Davina Waddell,Avondale,18541,ISLE OF MAN (NZ) 1978,46994,ALBATROSS ROAD (NZ) 1986
Rubbledum,201526,5,m,Richard Collett,Pukekohe Park,179997,BLUES TRAVELLER (IRE) 1990,33555,REGAL HALO (NZ) 1979
Mawasi,201089,5,m,Mavis Retter,Matamata,155702,THE COMMANDER (NZ) 1991,40963,TAIPASHA (NZ) 1976
Slash 'N' Burn,202337,5,m,Ken Davies,Matamata,163519,TANKER PORT (USA) 1985,124904,STAR COUNTESS (NZ) 1988
Rhapsodize,194330,6,m,Terry & Scott Wenn,Te Aroha,186139,PRIZED (USA) 1986,36267,SEADREAMER (NZ) 1982
Rose Sherie,185140,8,m,Jim McGrath,Taupo,48654,MARCH HYWEL (USA) 1977,36993,SHERNADO (NZ) 1984
Poacher's Prize,208092,4,m,Murray Baker,Cambridge,186139,PRIZED (USA) 1986,153357,IVORY KINGDOM (NZ) 1991
Armanasco,210040,4,g,Bev & Ken Kelso,Matamata,186277,SLAVIC (USA) 1987,75014,CLASSIC TRICK (NZ) 1986
The Predator,208209,4,g,Denise Jeffcoat,Pukekohe Park,179798,VIALLI (IRE) 1991,152833,SILVER SHINE (NZ) 1991
Sandyliquor (AUS),213491,4,g,Robert Priscott,Te Awamutu,199897,DESERT STYLE (IRE) 1992,213493,BENEDICTINE (AUS) 1989
Checkmate,210301,4,g,J W Campin,Cambridge,187200,GREEN PERFUME (USA) 1992,121974,REGAL SUNRISE (NZ) 1987
Young McKenzie,210891,4,g,Frank Drummond,Te Awamutu,167200,BORSTAL BOY (AUS) 1987,136281,MISS JOHANNA (NZ) 1989
Being Xtreme,203094,5,g,Caroline Pomare,Ardmore,173185,HEROICITY (AUS) 1988,149831,FIVE OCLOCK SHADOW (NZ) 1990
Hendriko Garciano,200117,5,g,Denise Jeffcoat,Pukekohe Park,166989,VYNER'S ORB (AUS) 1988,164027,LADY HEIN (NZ) 1992
Jacks Back,199991,5,g,Michael Farmer,Te Aroha,13807,FOXBAY (NZ) 1978,132784,WHISKY (NZ) 1988
Make His Mark (AUS),212462,4,g,Bryce Tankard,Cambridge,200230,ASCOT KNIGHT (CAN) 1984,212465,VENTURINA (IRE) 1989
Play Ball,210329,4,g,Phil Davies,Cambridge,145618,BALL PARK (NZ) 1989,180567,LADY EXTRA (AUS) 1994
Rinaldo,209540,4,g,Ross McCarroll,Cambridge,173400,CAROLINGIAN (AUS) 1988,118668,OUR JACK'S CHOICE (NZ) 1987
Red Talk,213547,3,g,Stu & Neil Dromgool,Cambridge,186277,SLAVIC (USA) 1987,149791,RED ERA (NZ) 1990
Ramillies,216405,3,g,Graeme Sanders & Debbie Sweeney,Te Awamutu,190539,HAAYIL (AUS) 1992,106104,MANSION ROW (NZ) 1985
Whateveryousay,215715,3,g,John Revell,Te Aroha,192596,MELLIFONT (USA) 1994,176698,MELTED ICE (NZ) 1994
Oliver's Magic (AUS),221764,3,g,Richard Otto & Stephen Fache,Te Awamutu,193823,SKILFUL STAR (AUS) 1988,221766,PHIL'S MAGIC (AUS) 1985
Strike It Right,217192,3,g,Graeme Nicholson,Te Aroha,39811,STRAIGHT STRIKE (USA) 1977,35739,SANCTIFY (NZ) 1977
Shiny (AUS),205953,5,g,Graeme Sanders & Debbie Sweeney,Te Awamutu,186962,EL MOXIE (USA) 1986,205761,MANA GIRL (AUS) 1989
Te Atatu Irish,207402,4,g,Gary Jenkins,Takanini,165590,DIAMOND EXPRESS (NZ) 1992,27574,MYTH (NZ) 1983
Toocool For School,208769,4,g,Brad Peterson,Matamata,168803,SAKTI (NZ) 1993,33982,RHYTHM LASS (NZ) 1980
Dondinello,200215,5,g,Ross Elliot,Cambridge,39480,STAR WAY (GB) 1977,126835,EMPIRE'S TIARA (NZ) 1988
Burwood (AUS),205913,5,g,Don Sellwood,Cambridge,167953,CLASSIC FAME (USA) 1986,117356,THREADNEEDLE (NZ) 1987
Into The Sea (USA),230906,6,g,Lisa Cropp,Cambridge,230909,THE VID (USA) 1990,230910,PRIMAL SEA (USA) 1981
Prince Keitel,200914,5,g,Bill Wright,Matamata,20195,KEITEL (NZ) 1983,126868,TAVUA BAY (NZ) 1987
Ronnie's Legend,201014,5,g,Jan McGiven,Te Aroha,91305,SKY FILOU (NZ) 1983,70437,JUDE'S LEGEND (NZ) 1982
Genros,217464,3,g,Stephen & Trevor McKee,Ardmore,180013,GENEROUS (IRE) 1988,179932,PINK PEPPERCORN (AUS) 1990
Cork 'N Bottle,213416,3,g,Robert Priscott,Te Awamutu,184718,DANSKE (NZ) 1995,162197,NEWLANDS (NZ) 1992
Symboli Rex,215528,3,g,Mark Todd,Rangiora,199454,SHINKO KING (IRE) 1991,117932,IMAGES (NZ) 1988
Get It Good,213667,3,g,Jenny & Bob Vance,Ardmore Lodge,206057,ANZIYAN (USA) 1993,129697,BLACK TASSELS (NZ) 1987
Lion,214445,3,g,Murray Baker,Cambridge,180013,GENEROUS (IRE) 1988,135973,BLUE SATIN (NZ) 1989
Mandalic,213508,3,g,Rudy Liefting,Pukekohe Park,186277,SLAVIC (USA) 1987,157718,STAR BERET (NZ) 1989
Sodowe,215378,3,g,Graham Cameron,Te Aroha,200268,PHOUNTZI (USA) 1986,149651,ILIKEHER (NZ) 1990
